-----------------------------------------------------------
line,col,  node
 647,  1,                      td
 647,  5,                        a
 647, 27,                          TEXT
 648,  1,                      td
 648,  5,                        TEXT
 650,  1,                    tr
 651,  1,                      td
 651, 24,                        a
 651, 49,                          TEXT
 652,  1,                      td
 652,  5,                        TEXT
 654,  1,                    tr
 655,  1,                      td
 655,  5,                        a
 655, 29,                          TEXT
 656,  1,                      td
 656,  5,                        TEXT
 658,  1,                    tr
 659,  1,                      td
 659,  5,                        a
 659, 30,                          TEXT
 660,  1,                      td
 660,  5,                        TEXT
 662,  1,                    tr
 663,  1,                      td
 663,  5,                        a
 663, 26,                          TEXT
 664,  1,                      td
 664,  5,                        TEXT
 666,  1,                    tr
 667,  1,                      td
 667,  5,                        a
 667, 28,                          TEXT
 668,  1,                      td
 668,  5,                        TEXT
 671,  1,                    tr
 672,  1,                      td
 672, 24,                        a
 672, 47,                          TEXT
 673,  1,                      td
 673,  5,                        TEXT
 675,  1,                    tr
 676,  1,                      td
 676,  5,                        a
 676, 27,                          TEXT
 677,  1,                      td
 677,  5,                        TEXT
 679,  1,                    tr
 680,  1,                      td
 680, 24,                        a
 680, 47,                          TEXT
 681,  1,                      td
 681,  5,                        TEXT
 683,  1,                    tr
 684,  1,                      td
 684,  5,                        a
 684, 28,                          TEXT
 685,  1,                      td
 685,  5,                        TEXT
 687,  1,                    tr
 688,  1,                      td
 688, 24,                        a
 688, 51,                          TEXT
 689,  1,                      td
 689,  5,                        TEXT
 691,  1,                    tr
 692,  1,                      td
 692,  5,                        a
 692, 28,                          TEXT
 693,  1,                      td
 693,  5,                        TEXT
 695,  1,                    tr
 696,  1,                      td
 696, 24,                        a
 696, 48,                          TEXT
 697,  1,                      td
 697,  5,                        TEXT
 699,  1,                    tr
 700,  1,                      td
 700, 24,                        a
 700, 46,                          TEXT
 701,  1,                      td
 701,  5,                        TEXT
 703,  1,                    tr
 704,  1,                      td
 704,  5,                        a
 704, 53,                          TEXT
 705,  1,                      td
 705,  5,                        span
 705, 30,                          TEXT
 705, 53,                          br
 705, 64,                        TEXT
 707,  1,                    tr
 708,  1,                      td
 708,  5,                        a
 708, 32,                          TEXT
 709,  1,                      td
